giorno,categoria,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95
2025-12-30,IC,1,1,0,0,0,0,0,1,0,1,1,1,1,1,96,0,96,96.0,96.0,96.0,96.0
2025-12-30,REG,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,-6,-6.0,-6.0,-6.0,-6.0
2026-01-01,FR,1,1,0,0,0,0,0,1,0,1,1,1,0,0,16,0,16,16.0,16.0,16.0,16.0
2026-01-02,FR,1,1,0,0,0,0,0,1,0,1,1,1,0,0,16,0,16,16.0,16.0,16.0,16.0
2026-01-03,REG,1,1,0,0,0,0,0,1,0,1,1,1,1,1,65,0,65,65.0,65.0,65.0,65.0
2026-02-03,REG,1,1,0,0,0,0,0,1,0,1,1,1,1,0,30,0,30,30.0,30.0,30.0,30.0
2026-02-04,REG,1,1,0,0,0,0,0,1,0,1,1,1,0,0,27,0,27,27.0,27.0,27.0,27.0
2026-02-12,REG,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0
