mese,categoria,giorni_con_dati,giorni_nel_mese
2019-10,,3,30
2019-10,DIR,1,30
2019-10,EC,30,30
2019-10,EN,30,30
2019-10,ES*,30,30
2019-10,EXP,19,30
2019-10,IC,30,30
2019-10,INV,2,30
2019-10,MET,30,30
2019-10,REG,30,30
2019-11,,7,30
2019-11,EC,30,30
2019-11,EN,30,30
2019-11,ES*,30,30
2019-11,EXP,11,30
2019-11,IC,30,30
2019-11,IR,1,30
2019-11,MET,30,30
2019-11,REG,30,30
2019-12,,1,29
2019-12,DIR,1,29
2019-12,EC,29,29
2019-12,EN,29,29
2019-12,ES*,29,29
2019-12,EXP,8,29
2019-12,IC,29,29
2019-12,IR,1,29
2019-12,MET,29,29
2019-12,REG,29,29
2020-01,,2,31
2020-01,EC,31,31
2020-01,EN,31,31
2020-01,ES*,31,31
2020-01,EXP,8,31
2020-01,IC,31,31
2020-01,INV,2,31
2020-01,MET,31,31
2020-01,REG,31,31
2020-02,EC,29,29
2020-02,EN,29,29
2020-02,ES*,29,29
2020-02,EXP,8,29
2020-02,IC,29,29
2020-02,IR,3,29
2020-02,MET,29,29
2020-02,MRV,1,29
2020-02,REG,29,29
2020-03,EC,24,30
2020-03,EN,10,30
2020-03,ES*,30,30
2020-03,EXP,2,30
2020-03,IC,30,30
2020-03,IR,2,30
2020-03,MET,30,30
2020-03,REG,30,30
2020-04,EC,10,29
2020-04,EN,1,29
2020-04,ES*,29,29
2020-04,EXP,2,29
2020-04,IC,29,29
2020-04,MET,29,29
2020-04,REG,29,29
2020-05,ES*,31,31
2020-05,IC,31,31
2020-05,MET,31,31
2020-05,REG,31,31
2020-06,EC,27,30
2020-06,EN,4,30
2020-06,ES*,30,30
2020-06,IC,30,30
2020-06,MET,30,30
2020-06,REG,30,30
2020-07,EC,30,30
2020-07,EN,30,30
2020-07,ES*,30,30
2020-07,IC,30,30
2020-07,INV,16,30
2020-07,MET,30,30
2020-07,REG,30,30
2020-08,,28,31
2020-08,EC,31,31
2020-08,EN,31,31
2020-08,ES*,3,31
2020-08,IC,31,31
2020-08,INV,21,31
2020-08,IR,8,31
2020-08,MET,31,31
2020-08,REG,31,31
2020-09,,30,30
2020-09,EC,30,30
2020-09,EN,30,30
2020-09,IC,30,30
2020-09,INV,22,30
2020-09,IR,10,30
2020-09,MET,30,30
2020-09,REG,30,30
2020-10,,31,31
2020-10,CP,1,31
2020-10,EC,31,31
2020-10,EN,31,31
2020-10,IC,31,31
2020-10,INV,22,31
2020-10,MET,31,31
2020-10,REG,31,31
2020-11,,30,30
2020-11,EC,30,30
2020-11,EN,10,30
2020-11,EXP,1,30
2020-11,IC,30,30
2020-11,INV,22,30
2020-11,IR,3,30
2020-11,MET,30,30
2020-11,REG,30,30
2020-12,,31,31
2020-12,DIR,1,31
2020-12,EC,31,31
2020-12,EN,2,31
2020-12,IC,31,31
2020-12,INV,24,31
2020-12,IR,8,31
2020-12,MET,31,31
2020-12,REG,31,31
2021-01,,31,31
2021-01,EC,31,31
